item,value,note
summary_name,Generation3 complete holdout evaluation summary,
status,final,
generation_tag,pdf-generation3,
generation_commit,2ab576ddc75c7493ad9629675ef145dde7a1dc32,
development_ground_truth_count,49,PDF汎用検出 開発データセットv1
development_candidate_count,28,PDF汎用検出 開発データセットv1
development_matched_ground_truth_count,30,PDF汎用検出 開発データセットv1
development_missed_ground_truth_count,19,PDF汎用検出 開発データセットv1
development_true_positive_candidate_count,20,PDF汎用検出 開発データセットv1
development_false_positive_candidate_count,8,PDF汎用検出 開発データセットv1
development_recall,0.612,PDF汎用検出 開発データセットv1
development_candidate_precision,0.714,PDF汎用検出 開発データセットv1
development_average_coverage,0.968,PDF汎用検出 開発データセットv1
development_minimum_coverage,0.853,PDF汎用検出 開発データセットv1
holdout001_ground_truth_count,10,
holdout001_candidate_count,5,
holdout001_matched_ground_truth_count,0,
holdout001_missed_ground_truth_count,10,
holdout001_true_positive_candidate_count,0,
holdout001_false_positive_candidate_count,5,
holdout001_recall,0.000,
holdout001_candidate_precision,0.000,
holdout002_ground_truth_count,49,
holdout002_candidate_count,2,
holdout002_matched_ground_truth_count,0,
holdout002_missed_ground_truth_count,49,
holdout002_true_positive_candidate_count,0,
holdout002_false_positive_candidate_count,2,
holdout002_recall,0.000,
holdout002_candidate_precision,0.000,
holdout003_ground_truth_count,43,
holdout003_candidate_count,44,
holdout003_matched_ground_truth_count,0,
holdout003_missed_ground_truth_count,43,
holdout003_true_positive_candidate_count,0,
holdout003_false_positive_candidate_count,44,
holdout003_recall,0.000,
holdout003_candidate_precision,0.000,
three_document_reference_ground_truth_count,102,3文書に対する参考集計
three_document_reference_candidate_count,51,3文書に対する参考集計
three_document_reference_matched_ground_truth_count,0,3文書に対する参考集計
three_document_reference_missed_ground_truth_count,102,3文書に対する参考集計
three_document_reference_true_positive_candidate_count,0,3文書に対する参考集計
three_document_reference_false_positive_candidate_count,51,3文書に対する参考集計
three_document_reference_recall,0.000,3文書に対する参考集計
three_document_reference_candidate_precision,0.000,3文書に対する参考集計
interpretation,Generation3は開発データセットでは性能改善が確認されたが完全未使用の3文書では正解102件に対して一致した正解矩形が0件,未知文書への汎化性能を確認できなかった
non_claim_all_pdfs_zero,false,すべてのPDFで性能0であるとは記載しない
non_claim_pdf_anonymization_impossible,false,PDF匿名化は不可能であるとは記載しない
pause_generation3_additional_tuning,true,
do_not_start_generation4_now,true,
current_pdf_feature_position,全ページ人間確認を前提とした匿名化支援,
not_a_fully_automatic_pdf_anonymizer,true,
preserve_generation3_and_holdout_results,true,
do_not_delete_existing_pdf_code,true,
future_pdf_restart_requires_redesign_consideration,true,
future_topic_ocr_quality,true,
future_topic_document_layout_analysis,true,
future_topic_table_structure_analysis,true,
future_topic_named_entity_recognition,true,
cause_analysis_or_generation4_design_performed_now,false,
positioning,検証結果に基づき追加投資を一時停止,
move_primary_development_target_to_word_anonymization,true,
word_implementation_started_now,false,
word_reason_direct_text,true,Wordでは通常文字情報を直接取得できる
word_reason_no_ocr_required,true,OCRを必須としない
word_reason_document_structure,true,段落・表・セル・ヘッダー・フッター等を利用できる
word_reason_less_coordinate_issue,true,OCR座標と表示位置の対応問題を減らせる可能性
word_reason_common_rules_with_excel,true,既存Excel匿名化機能との共通化を検討できる
contains_pdf_original,false,
contains_anonymized_pdf,false,
contains_ocr_original_text,false,
contains_company_names,false,
contains_person_names,false,
contains_ground_truth_coordinates,false,
contains_candidate_coordinates,false,
contains_ground_truth_csv_content,false,
contains_initial_candidate_csv_content,false,
contains_secret_key,false,
