項目,値,備考
ground_truth_count,24,
candidate_count,26,
matched_ground_truth_count,20,
missed_ground_truth_count,4,
true_positive_candidate_count,20,
false_positive_candidate_count,6,
recall,0.833,
candidate_precision,0.769,
exact_span_match_count,20,
validation_docx_sha256,028972970592182d8c8ccc1a48e0e591998c5ac1f6b088ad090f8efdc95fb1a8,
ground_truth_sha256,a036fd2711f0fd25c4b8d352db57566720ca14a6c17688952d697904f0b91810,
initial_candidates_sha256,bb8037e03858e67475dfccf66b8ae4e6686300453ba7508fd3fef08e0aa555c0,
category_メールアドレス,"{""正解"": 3, ""検出"": 3, ""見逃し"": 0, ""TP候補"": 3, ""FP候補"": 0}",
category_会社名,"{""正解"": 7, ""検出"": 8, ""見逃し"": 2, ""TP候補"": 5, ""FP候補"": 3}",
category_住所,"{""正解"": 3, ""検出"": 4, ""見逃し"": 1, ""TP候補"": 2, ""FP候補"": 2}",
category_氏名,"{""正解"": 6, ""検出"": 6, ""見逃し"": 1, ""TP候補"": 5, ""FP候補"": 1}",
category_銀行名,"{""正解"": 3, ""検出"": 3, ""見逃し"": 0, ""TP候補"": 3, ""FP候補"": 0}",
category_電話番号,"{""正解"": 2, ""検出"": 2, ""見逃し"": 0, ""TP候補"": 2, ""FP候補"": 0}",
